Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	sf	PDD
R1	2008-02-09	-62.1776204178	-58.902405662700005	82.0	7	0.0084999999999999	0.24376297	0.009557168	2.4495544
R1	2008-02-13	-62.1776204178	-58.902405662700005	82.0	4	-0.10692	1.103009	0.00012025237	5.515045
R1	2008-02-16	-62.1776204178	-58.902405662700005	82.0	3	-0.064	1.6953735	0.0	6.781494
R1	2008-02-24	-62.1776204178	-58.902405662700005	82.0	8	-0.25	1.677609	0.0019542915	15.09848
R1	2008-03-02	-62.1776204178	-58.902405662700005	82.0	7	-0.126	0.96704865	0.014357213	8.7092285
R1	2008-03-07	-62.1776204178	-58.902405662700005	82.0	5	-0.1529999999999999	1.6726431	0.000244354	10.035858
R1	2008-03-09	-62.1776204178	-58.902405662700005	82.0	2	-0.036	0.9146016	0.00027799176	2.743805
R1	2008-03-17	-62.1776204178	-58.902405662700005	82.0	8	-0.0	0.8397081	0.008127336	7.557373
R1	2008-11-03	-62.1776204178	-58.902405662700005	82.0	231	1.05212	-2.5973895	0.46117195	15.195679
R1	2008-11-13	-62.1776204178	-58.902405662700005	82.0	10	-0.0017199999999999	-2.2737398	0.022290135	0.0
R1	2008-11-21	-62.1776204178	-58.902405662700005	82.0	8	-0.0461999999999999	-0.634925	0.0070662824	2.0507507
R1	2008-11-28	-62.1776204178	-58.902405662700005	82.0	7	-0.0958	0.60873795	0.0017112349	4.9278564
R1	2008-12-05	-62.1776204178	-58.902405662700005	82.0	7	-0.10439	0.2886734	0.0009645205	3.6431885
R1	2008-12-09	-62.1776204178	-58.902405662700005	82.0	4	-0.03542	-0.82038575	0.0037737014	0.0
R1	2008-12-13	-62.1776204178	-58.902405662700005	82.0	4	0.00141	-0.2321045	0.008963645	0.23568726
R1	2008-12-19	-62.1776204178	-58.902405662700005	82.0	6	-0.13072	0.6198556	0.0019074351	4.996399
R1	2009-01-09	-62.1776204178	-58.902405662700005	82.0	21	-0.2692799999999999	0.41877192	0.015345125	11.138824
R1	2009-01-17	-62.1776204178	-58.902405662700005	82.0	8	-0.351	1.4779968	0.00018800411	13.301971
R1	2009-01-24	-62.1776204178	-58.902405662700005	82.0	7	-0.0809999999999999	0.75668716	0.027771477	6.0534973
R1	2009-01-30	-62.1776204178	-58.902405662700005	82.0	6	0.0239999999999999	1.7073975	4.1200314e-05	11.951782
R1	2009-01-31	-62.1776204178	-58.902405662700005	82.0	1	-0.042	1.2859802	0.0008162891	2.5719604
R1	2009-02-06	-62.1776204178	-58.902405662700005	82.0	6	-0.0359999999999999	0.3444737	0.014866563	2.809784
R1	2009-02-13	-62.1776204178	-58.902405662700005	82.0	7	-0.0359999999999999	1.3217278	0.000876016	10.755615
R1	2009-02-21	-62.1776204178	-58.902405662700005	82.0	8	-0.099	0.6296353	0.011263422	6.0877075
R1	2009-02-28	-62.1776204178	-58.902405662700005	82.0	7	-0.162	1.0197182	0.0017620007	8.157745
R1	2009-03-01	-62.1776204178	-58.902405662700005	82.0	1	-0.0	-0.054626465	0.00039157993	0.0072631836
R1	2009-03-27	-62.1776204178	-58.902405662700005	82.0	26	-0.3779999999999999	1.02804	0.02475149	28.755981
R1	2009-11-12	-62.1776204178	-58.902405662700005	82.0	230	2.1636	-5.0070624	0.64132583	2.344696
R1	2009-11-18	-62.1776204178	-58.902405662700005	82.0	6	0.0304	-2.7515957	0.0023024576	0.0
R1	2009-11-23	-62.1776204178	-58.902405662700005	82.0	5	0.0098999999999999	-1.1518707	0.007111661	0.0
R1	2009-12-04	-62.1776204178	-58.902405662700005	82.0	11	0.0148	-1.5699717	0.053571507	0.0
R1	2009-12-07	-62.1776204178	-58.902405662700005	82.0	3	0.0689999999999999	-1.7385101	0.005772207	0.0
R1	2009-12-13	-62.1776204178	-58.902405662700005	82.0	6	0.0248	-0.91748047	0.009903145	0.0
R1	2009-12-21	-62.1776204178	-58.902405662700005	82.0	8	-0.1665	0.5281101	0.0031687277	5.0145264
R1	2009-12-28	-62.1776204178	-58.902405662700005	82.0	7	-0.1088999999999999	-0.111881256	0.025962185	1.3896484
R1	2010-01-11	-62.1776204178	-58.902405662700005	82.0	14	-0.0057999999999999	-0.73664147	0.010161627	0.17752075
R1	2010-01-18	-62.1776204178	-58.902405662700005	82.0	7	-0.0863	0.10580826	0.0079913335	3.3012085
R1	2010-01-25	-62.1776204178	-58.902405662700005	82.0	7	-0.1331	0.5161209	0.0019988464	4.4520874
R1	2010-02-01	-62.1776204178	-58.902405662700005	82.0	7	0.0139	-0.09031677	0.011110281	1.5261841
R1	2010-02-15	-62.1776204178	-58.902405662700005	82.0	14	-0.0290999999999999	-0.42915446	0.044821832	0.5687561
R1	2010-02-22	-62.1776204178	-58.902405662700005	82.0	7	-0.0521999999999999	-0.49742508	0.0007789441	1.5094604
R1	2010-03-01	-62.1776204178	-58.902405662700005	82.0	7	-0.0089	-0.65948105	0.019945825	1.289093
R1	2010-03-08	-62.1776204178	-58.902405662700005	82.0	7	-0.1252	0.5915985	0.000237055	6.554474
R1	2010-03-15	-62.1776204178	-58.902405662700005	82.0	7	-0.0815999999999999	-0.59716797	0.0026988392	4.8640137
R1	2010-03-23	-62.1776204178	-58.902405662700005	82.0	8	0.089	-2.0628154	0.049048424	0.0
R1	2010-03-29	-62.1776204178	-58.902405662700005	82.0	6	-0.0382	-0.6603263	0.010391535	1.7383423
R1	2010-04-05	-62.1776204178	-58.902405662700005	82.0	7	-0.0912	0.19608688	0.01208237	3.3014526
R1	2010-04-12	-62.1776204178	-58.902405662700005	82.0	7	-0.0684	0.33319855	0.0028690854	3.5002136
R1	2010-04-14	-62.1776204178	-58.902405662700005	82.0	2	-0.0	0.18307495	0.0051890574	0.61227417
R1	2010-04-20	-62.1776204178	-58.902405662700005	82.0	6	0.0163999999999999	-3.1038077	0.02906397	1.3663635
R1	2010-04-27	-62.1776204178	-58.902405662700005	82.0	7	0.0836	-5.603161	0.026286338	0.0
R1	2010-05-13	-62.1776204178	-58.902405662700005	82.0	16	-0.02	-5.307788	0.040685143	1.2475281
R1	2010-05-20	-62.1776204178	-58.902405662700005	82.0	7	0.01	-2.315178	0.027950222	0.11303711
R1	2010-11-09	-62.1776204178	-58.902405662700005	82.0	173	0.4218	-2.676306	0.42187494	2.5983582
R1	2010-11-29	-62.1776204178	-58.902405662700005	82.0	20	-0.0414	-0.40379116	0.049294602	1.3239441
R1	2010-12-11	-62.1776204178	-58.902405662700005	82.0	12	0.0457	-1.5442669	0.03157043	0.0
R1	2010-12-21	-62.1776204178	-58.902405662700005	82.0	10	-0.0146	-0.7787809	0.02080341	0.3435669
R1	2010-12-30	-62.1776204178	-58.902405662700005	82.0	9	-0.1101999999999999	0.22979736	0.020427978	3.1513367
R1	2011-01-07	-62.1776204178	-58.902405662700005	82.0	8	-0.1721	0.59315324	0.0038736416	5.4608765
R1	2011-01-15	-62.1776204178	-58.902405662700005	82.0	8	-0.0584	-0.050591365	0.0051348535	0.686615
R1	2011-01-23	-62.1776204178	-58.902405662700005	82.0	8	0.0033	-0.35603163	0.007999655	0.32177734
R1	2011-01-31	-62.1776204178	-58.902405662700005	82.0	8	-0.1133	0.69590926	0.0134482235	6.430542
R1	2011-02-07	-62.1776204178	-58.902405662700005	82.0	7	0.0118999999999999	0.66619873	0.007678802	5.32959
R1	2011-02-15	-62.1776204178	-58.902405662700005	82.0	8	-0.2021	1.3510437	0.010230048	12.159393
R1	2011-02-25	-62.1776204178	-58.902405662700005	82.0	10	-0.2132	1.6809026	0.0048142527	18.48993
R1	2011-03-14	-62.1776204178	-58.902405662700005	82.0	17	-0.324	1.3079885	0.007643615	24.5867
R1	2011-03-22	-62.1776204178	-58.902405662700005	82.0	8	-0.0629999999999999	0.26877847	0.007650613	4.9980774
R1	2011-04-06	-62.1776204178	-58.902405662700005	82.0	15	0.8295999999999999	-2.2357311	0.045858726	1.1174622
R1	2011-04-24	-62.1776204178	-58.902405662700005	82.0	18	0.0366	-4.164578	0.06708296	0.4013672
R1	2011-05-10	-62.1776204178	-58.902405662700005	82.0	16	0.1473999999999999	-5.1663513	0.0434812	0.0
R1	2011-05-24	-62.1776204178	-58.902405662700005	82.0	14	-0.0162999999999999	-2.9002116	0.020930957	0.69924927
R1	2011-06-07	-62.1776204178	-58.902405662700005	82.0	14	-0.0519	-3.2612793	0.039003104	1.8694458
R1	2011-06-20	-62.1776204178	-58.902405662700005	82.0	13	-0.0135999999999999	-6.5807495	0.026443549	0.0
R1	2011-07-05	-62.1776204178	-58.902405662700005	82.0	15	0.0774	-4.641424	0.04793468	0.0
R1	2011-07-19	-62.1776204178	-58.902405662700005	82.0	14	0.0432	-6.825051	0.021053832	0.0
R1	2011-08-07	-62.1776204178	-58.902405662700005	82.0	19	0.0264	-13.778254	0.03243607	0.0
R1	2011-08-22	-62.1776204178	-58.902405662700005	82.0	15	0.0671999999999999	-7.326069	0.022508103	0.0
R1	2011-09-06	-62.1776204178	-58.902405662700005	82.0	15	-0.0135	-4.05694	0.025545262	0.0
R1	2011-09-22	-62.1776204178	-58.902405662700005	82.0	16	0.0193999999999999	-7.065794	0.050467245	0.0
